spmiserver;objectno;description
KPRDCSA02;10010000000004;Leibinger
KPRDCSA02;10010000000006;Rudolf
KPRDCSA02;10010000000007;Edwards / Fogarty
KPRDCSA02;10010000000008;Medicon
KPRDCSA02;10010000000009;Pilling USA
KPRDCSA02;10010000000010;Dimeda
KPRDCSA02;10010000000011;Hebu
KPRDCSA02;10010000000012;Pilling
KPRDCSA02;10010000000013;ZR
KPRDCSA02;10010000000014;Simal
KPRDCSA02;10010000000015;Aesculap
KPRDCSA02;10010000000016;Martin
KPRDCSA02;10010000000017;Martin, Gebr.
KPRDCSA02;10010000000018;Snowden
KPRDCSA02;10010000000019;Micro France
KPRDCSA02;10010000000020;S&T
KPRDCSA02;10010000000021;Snowden Pencer
KPRDCSA02;10010000000022;Codman
KPRDCSA02;10010000000023;PMS
KPRDCSA02;10010000000024;Lapperre / Explorent
KPRDCSA02;10010000000025;Delacroix-Chevalier
KPRDCSA02;10010000000026;Bowa
KPRDCSA02;10010000000027;Deckers
KPRDCSA02;10010000000028;TSP
KPRDCSA02;10010000000029;explorent
KPRDCSA02;10010000000030;WJC
KPRDCSA02;10010000000031;Reda
KPRDCSA02;10010000000032;Ulrich
KPRDCSA02;10010000000033;Micro-France
KPRDCSA02;10010000000034;LAPERRE
KPRDCSA02;10010000000035;XOMED
KPRDCSA02;10010000000036;fentex
KPRDCSA02;10010000000037;Med Sys
KPRDCSA02;10010000000038;Linvatec
KPRDCSA02;10010000000039;Bard
KPRDCSA02;10010000000040;PWS
KPRDCSA02;10010000000041;Bittner
KPRDCSA02;10010000000042;Olympus
KPRDCSA02;10010000000043;Asanus
KPRDCSA02;10010000000044;DIFRA
KPRDCSA02;10010000000045;Lawton
KPRDCSA02;10010000000046;Bag
KPRDCSA02;10010000000047;Pouret
KPRDCSA02;10010000000048;Intuitive
KPRDCSA02;10010000000049;Mayer&Phelps
KPRDCSA02;10010000000050;Geister
KPRDCSA02;10010000000051;Stille
KPRDCSA02;10010000000052;Wolf
KPRDCSA02;10010000000053;Ethicon
KPRDCSA02;10010000000054;Storz
KPRDCSA02;10010000000055;Omnitract
KPRDCSA02;10010000000056;Scanlan
KPRDCSA02;10010000000057;Dows
KPRDCSA02;10010000000058;Duomed
KPRDCSA02;10010000000064;Fentex
KPRDCSA02;10010000000065;FOGARTY
KPRDCSA02;10010000000066;Mueller
KPRDCSA02;10010000000067;SJ
KPRDCSA02;10010000000068;VINCENT
KPRDCSA02;10010000000069;Inox
KPRDCSA02;10010000000070;Lapperre
KPRDCSA02;10010000000071;Difra
