manufacturer_description;count;manufacturer_description
Johnson & Johnson Medical NV;12095
Unknown;9404
unknown;5575
Smith & Nephew;5065
ZIMMERBIOMET;4771
Aesculap;1682
LIMA;1552
aesculap;1198
stryker;1041
Stryker;989
Rudolf;815
Medsys;757
Medicon;702
simal;692
Karl Storz;616
geomed;606
zimmer;600
Swiss;589
Simal;586
swiss;475
landanger;455
Indifférent;429
storz;428
medicon;404
smith & nephew;399
depuy;359
As;357
medtronic;317
Storz;308
Mathys;303
Zimmer;284
martin;272
Landanger;272
Nopa;270
Arthrex;260
Depuy;248
ZimmerBiomet;233
medacta;223
KLS Martin;212
explorent;203
Wolf;203
corin;195
AS;190
globus;188
olympus;180
synthes;171
md medical;169
Biomet;168
Spiggle & Theis;164
Leibinger;158
Medlane;155
muller;150
Pilling;147
pouret;144
K2M;140
normmed;138
Duchateau;136
Martin;134
Acufex;123
wolf;123
leibinger;121
micro france;120
STRYKER;116
Pro-Med;112
Shark;110
snowden-pencer;100
Olympus;99
D Simal;96
acufex;96
arthrex;95
Stoma;94
x.nov;91
medlane;90
spiggle & theis;90
Medtronic;88
Micro France;87
bittner;87
pilling;85
lapperre;85
france inox;85
Geomed;81
acumed;80
Centinel Spine;76
stoma;74
Lawton;72
kls martin;72
indifférent;71
Acumed;71
Moria;70
nopa;69
Motion Medical;68
geuder;66
md ecoline;66
Attune;64
Synthes;63
Hu-Friedy;62
codman;62
Normmed;62
Link;59
jakobi;57
biomet;55
karl storz;54
DePuy Synthes;54
Mitek;53
asanus;53
SERF;53
New2DM;51
duckworth & kent;49
ulrich;49
Inomed;48
mathys;46
moria;46
lm;44
sklar;44
bien air;43
Inox France;43
Innomed;43
scanlan;42
link;41
omni-tract;41
ophmed;40
paul louis;38
Henry Schein;38
Deckers;36
Delacroix-Chevalier;36
Difra;36
heiss;36
mectron;35
Medin;35
Bittner;35
Codman;35
fci-france;34
bag;34
Novastep;33
S & T;33
Omni-Tract;32
dorc;32
Vitalitec;32
Stainless;32
fentex;32
Kohler;31
vitalitec;31
inox france;30
Gimmi;30
Zepf;30
Ulrich;30
newdeal;30
Lepine;29
tekka;29
rhein;29
duchateau;28
Pouret;27
integra;27
Scanlan;26
Harmonic;26
ustomed;26
dyonics;25
tekno;25
alcon;25
Aesculap_F;25
mitek;25
Kerimedical;25
weck;25
DePuySpine;24
Keri;24
lawton;24
ethicon;24
Alcon;24
hall;24
allo pro;24
Snowden & Spencer;23
rumex;23
delacroix-chevalier;23
reda;23
Lape Medical;23
Ethicon;23
leone;23
Medela;22
Hugo;22
Micro-France;22
Reda;22
AGL;22
hu-friedy;22
Hall;21
spiggele & theis;21
teufel;21
arex;21
epsilon-USA;21
synvasive;21
Marlin;20
laperre;20
Friadent;20
geister;20
femcare UK;20
H.ZEPF;19
DL Medical;19
Symmetry;19
oculus;19
Bag France;19
Linvatec;19
Bowa;19
collin;19
ems;18
Rhein;18
elcon;18
Mueller;18
md;18
s&t;18
Biotek;17
w&h;17
American Medical;17
Laperre;17
sutter;17
Collin;17
Elcon;17
snowden pencer;17
Bag;17
AMICO;16
Duckworth & Kent;16
Medicmicro;16
valleylab;16
jacobs;15
Lustra;15
lemo;15
Powerpro;15
Eurotest;15
richards;15
inox-lc france;15
Geister;15
Stille;15
fehling;15
Zeppelin;15
Tekno;15
swann morton;15
KAVO;14
Geuder;14
katena;14
Padgett;14
byron;14
ace;14
Hebu;13
chirurg germany;13
Medesy;13
tontarra;13
Pasteur;13
S&T;13
Rebstock;13
D&K;13
Spine Solution;13
Erbe;13
lepine;13
Covidien;12
Northomed;12
Dufner;12
Explorent;12
Protek;12
dentsply;12
MedXpert;12
stille;12
p.louis;12
Chifa;11
Kurz;11
Allopro;11
Paul-Louis;11
Maquet;11
septaline;11
Ophmed;11
Lubberts;11
ConMed Linvatec;11
Martin Sollingen;11
Sulzer;11
Doro;11
ellman;11
hipp;11
Germany;11
Strycker;10
satellite;10
Valleylab;10
Astrolabe;10
Stopz;10
Microaire;10
Endo-Flex;10
germany;10
hebu;10
Heljestrand;10
Facom;10
Dräger;10
Fentex;10
KOMET MEDICAL;10
weiss;10
dufner;10
ProthAid;10
Novadaq;10
wera;10
gimmi;10
AMS;10
MGB;9
Biotech;9
xomed;9
technop;9
Martin, Gebr.;9
Heiss;9
in'surg;9
Wright;9
Wisap;9
Weck;9
Warwick Sasco;9
W&H;9
Fii;9
Polodent;9
PRO-MED;9
Tecomet;9
Bissinger;9
SBI;9
protek;9
Hospithera;9
cochlear;9
Shutt- Linvatec;9
Newdeal;9
Lapperre;9
micra;8
conmed;8
prestige;8
Micromed;8
MD Medical;8
Arex;8
zepf;8
Spine-Tech;8
Byron;8
Dittmar;8
BAUSCH&LOMB;8
MBG;8
Lemo;8
Codema;8
henry schein;8
Dimeda;8
ophtec;8
Cusa;8
Heine;8
Trackray;7
NSK;7
Auto Suture;7
Asa Dental;7
Noras;7
St Jude Médical;7
Vaassen;7
Artisan Ophtec;7
3M;7
rudolf;7
bissinger;7
Buxton;7
Diamond;7
bowa;7
bag france;7
harmonic;7
Intralock;7
